"user.assessmentUid","runId","user.grade","b-3-4-4","b-3-4-11","b-3-4-17","a-3-4-19","a-3-4-12","b-3-4-10","b-3-4-20","b-5-6-9","a-5-6-15","a-3-4-13","b-3-4-18","b-3-4-8","b-5-6-1","b-3-4-9","b-3-4-1","b-3-4-14","b-3-4-7","b-3-4-13","b-3-4-2","b-3-4-6","b-3-4-19","a-5-6-3","a-5-6-16","b-3-4-5","b-5-6-17","b-3-4-15","b-3-4-16","b-3-4-12","b-3-4-3","b-5-6-12","a-3-4-17","a-5-6-17","a-3-4-14","b-5-6-11","b-5-6-16","a-5-6-5","a-3-4-4","a-5-6-20","a-5-6-4","a-3-4-2","a-3-4-9","b-5-6-4","a-5-6-12","b-5-6-20","b-5-6-8","b-5-6-13","a-5-6-11","b-5-6-10","a-5-6-14","a-3-4-15","a-3-4-6","a-3-4-7","b-5-6-18","a-5-6-8","a-3-4-5","a-3-4-8","b-5-6-6","b-5-6-3","a-3-4-16","a-3-4-11","b-5-6-2","a-5-6-9","a-5-6-6","a-5-6-1","a-5-6-13","b-5-6-5","b-5-6-15","b-5-6-14","a-5-6-18","a-3-4-3","a-5-6-19","a-3-4-1","a-5-6-7","a-5-6-10","a-3-4-10","a-3-4-20","b-5-6-7","a-3-4-18","a-5-6-2","b-5-6-19","b-5-6-19m"
"6HsQfuMGpyb47Gyek6MDAPotCtn2","JSHzKPi9FrNkmuUwUJx1","2","1","1","1",".","0","1","1","1",".",".","0","0",".","0","1","0","1","1","0","1","0","1",".","0",".","1","0","0","1",".","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".","0",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"hEt3Nv0LQATmjY89Ez1CnmIpx3Y2","s8nfrnY4Gq6Z5I7IPhnV","2","1","0","1",".",".","0","0",".",".",".","0","0",".","1","0","1","1","1","0","1","0",".",".","1","1","1","1","1","1",".","1",".",".",".",".",".","1",".","1",".","0",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".","0",".",".",".",".",".",".","."
"bKUeQ03QX3NKDDvws7I4A6FgsHS2","1VqvfF80KsVeXySzyznK","3","0","0","1",".",".","0","0",".","0",".","1","1",".","0","1","0","1","0","0","0","0",".",".","1",".","0","0","0","1",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".","0",".",".",".",".",".","1",".",".","0",".",".",".",".",".","1",".",".",".","1",".",".","1",".",".",".",".",".",".",".",".",".",".","0",".",".","."
"AtMPiBmNF6MIX2n3X3lufy2C2pN2","ATS4bkrvvgiZG1X3wP5F","3","1","0","1",".",".","1","1",".",".",".","1","1",".","1","1","1","1","1","1","0","0",".",".","1",".","1","1","0","1",".","0",".","0","1",".",".",".","1",".",".",".",".",".",".",".",".","1",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".","0",".","1",".",".",".",".",".",".",".",".",".",".","."
"tqCiEZ6xhkaC3UnTYrYh0DQY4yf2","S9Oj4zIrLMBmA6w431DA","2","1","1","1",".",".","0","1",".",".","1","1","1",".","1","0","1","1","1","1","0","1",".","0","1",".","1","1","1","0","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","1",".","1",".",".",".","0",".",".",".",".",".","."
"P2HInDACBzLFb3hnlfTtLsvVPga2","OX8rDGgQwnbXJX4BZ7n2","2","1","0","1",".",".","0","1",".",".",".","1","0",".","1","1","1","1","1","1","1","0",".",".","1",".","0","0","0","0",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".","0",".","1",".",".",".",".","0",".",".",".",".",".",".","1",".",".","1",".",".",".",".","1","0","0",".",".",".",".",".",".",".",".",".",".",".","."
"DueKVK7N78fymD4jJshNAJZENaT2","FnZANKIF4EAysTKje7fi","2","1","1","1",".","0","1","1",".",".",".","1","1",".","1","1","1","1","0","1","1","1",".",".","1",".","1","0","0","1",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".","0","1","0",".","1",".",".",".",".","."
"jZkJggjTqcZgyQXyYfpXKNo1XoG2","kJtsYSPkcUp5yknOK6x9","3","0","1","1",".",".","1","1",".",".",".","1","1","1","1","0","1","1","1","1","1","1","0",".","1",".","0","0","1","1",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".","1","1",".",".","0",".",".",".","1",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"NfWetF4lt6Of4vl3XGjV6rcqE382","1onqMB7BwNARvv5oXDbj","1","0","0","0","1",".","0","0",".",".","0","0","0",".","0","0","0","0","0","0","0","1",".",".","1",".","0","1","0","1",".",".",".",".",".","0",".",".",".",".",".","1",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".","0",".",".",".",".",".",".",".","0",".",".",".",".",".","0",".","."
"7QRI6LA6vyTd6CpTwQrYQNcpcs12","aE8dyfvya1kBq4h3O8qt","6","0","1","1","1",".","1","1","1",".",".","1","1",".","0","1","1","1","1","0","0","1",".",".","1",".","1","0","1","1",".","1",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","1","1",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".","1",".",".","."
